id	x	y
0	1041	930
1	1066	913
2	809	584
3	1067	1015
4	775	643
5	1031	848
6	752	544
7	774	675
8	817	445
9	1039	648
10	840	1007
11	1030	806
12	867	1055
13	719	772
14	839	430
15	1054	394
16	788	649
17	1058	1076
18	1257	1028
19	781	613
20	817	1026
21	1276	1071
22	1188	589
23	1190	570
24	1079	573
25	1545	211
26	1235	74
27	1080	546
28	583	677
29	1018	539
30	1245	372
31	1552	840
32	1242	960
33	1494	260
34	817	1073
35	1472	264
36	842	501
37	1545	271
38	1629	994
39	1319	898
40	1329	959
41	1536	216
42	1523	850
43	1548	797
44	1224	133
45	1616	67
46	1589	1013
47	1026	903
48	1584	457
