id	x	y
232	1032	975
233	839	601
234	1032	1017
235	1039	821
236	816	617
237	1060	1067
238	1080	702
239	773	864
240	803	770
241	1019	687
242	864	37
243	775	825
244	754	710
245	1075	740
246	792	830
247	1057	555
248	1188	739
249	1189	724
250	720	952
251	1246	205
252	1075	721
253	1252	510
254	1573	784
255	1545	789
256	1235	262
257	1558	791
258	1607	197
259	777	795
260	834	686
261	1064	590
262	1489	132
263	1543	842
264	1549	830
265	1248	333
266	801	737
267	1546	270
268	1321	1046
269	1559	284
270	1449	236
271	1229	761
272	1552	292
273	1218	486
