id	x	y
314	1037	889
315	816	681
316	801	854
317	1078	775
318	1017	750
319	839	671
320	1057	619
321	775	901
322	1031	1043
323	865	105
324	1186	785
325	1184	805
326	772	940
327	1071	812
328	709	40
329	794	905
330	755	779
331	720	1025
332	1248	262
333	1073	786
334	1249	391
335	625	872
336	1557	212
337	1615	45
338	1251	567
339	1250	577
340	1596	361
341	1471	66
342	1529	842
343	1562	884
344	1546	880
345	1554	847
346	1628	996
347	830	767
348	1582	365
349	1495	246
350	1542	791
351	1607	392
352	774	876
353	1571	277
